Congress,Years,,# of House Seats,Democrats,Republicans,House,Senate,President
65th,1917,1919,435,214,215,Democrats6,Democrats,Democrat
66th,1919,1921,435,192,240,Republicans,Republicans,Democrat
67th,1921,1923,435,131,302,Republicans,Republicans,Republican
68th,1923,1925,435,207,225,Republicans,Republicans,Republican
69th,1925,1927,435,183,247,Republicans,Republicans,Republican
70th,1927,1929,435,194,238,Republicans,Republicans,Republican
71st,1929,1931,435,164,270,Republicans,Republicans,Republican
72nd,1931,1933,435,216,218,Democrats8,Republicans,Republican
73rd,1933,1935,435,313,117,Democrats,Democrats,Democrat
74th,1935,1937,435,322,103,Democrats,Democrats,Democrat
75th,1937,1939,435,334,88,Democrats,Democrats,Democrat
76th,1939,1941,435,262,169,Democrats,Democrats,Democrat
77th,1941,1943,435,267,162,Democrats,Democrats,Democrat
78th,1943,1945,435,222,209,Democrats,Democrats,Democrat
79th,1945,1947,435,244,189,Democrats,Democrats,Democrat
80th,1947,1949,435,188,246,Republicans,Republicans,Democrat
81st,1949,1951,435,263,171,Democrats,Democrats,Democrat
82nd,1951,1953,435,235,199,Democrats,Democrats,Democrat
83rd,1953,1955,435,213,221,Republicans,Republicans,Republican
84th,1955,1957,435,232,203,Democrats,Democrats,Republican
85th,1957,1959,435,232,203,Democrats,Democrats,Republican
86th,1959,1961,436,282,153,Democrats,Democrats,Republican
87th,1961,1963,437,264,173,Democrats,Democrats,Democrat
88th,1963,1965,435,258,176,Democrats,Democrats,Democrat
89th,1965,1967,435,295,140,Democrats,Democrats,Democrat
90th,1967,1969,435,248,187,Democrats,Democrats,Democrat
91st,1969,1971,435,243,192,Democrats,Democrats,Republican
92nd,1971,1973,435,255,180,Democrats,Democrats,Republican
93rd,1973,1975,435,243,192,Democrats,Democrats,Republican
94th,1975,1977,435,291,144,Democrats,Democrats,Republican
95th,1977,1979,435,292,143,Democrats,Democrats,Democrat
96th,1979,1981,435,278,157,Democrats,Democrats,Democrat
97th,1981,1983,435,243,192,Democrats,Republicans,Republican
98th,1983,1985,435,269,166,Democrats,Republicans,Republican
99th,1985,1987,435,254,181,Democrats,Republicans,Republican
100th,1987,1989,435,258,177,Democrats,Democrats,Republican
101st,1989,1991,435,260,175,Democrats,Democrats,Republican
102nd,1991,1993,435,267,167,Democrats,Democrats,Republican
103rd,1993,1995,435,258,176,Democrats,Democrats,Democrat
104th,1995,1997,435,204,230,Republicans,Republicans,Democrat
105th,1997,1999,435,207,226,Republicans,Republicans,Democrat
106th,1999,2001,435,211,223,Republicans,Republicans,Democrat
107th,2001,2003,435,212,221,Republicans,Republicans / Democrats12,Republican
108th,2003,2005,435,205,229,Republicans,Republicans,Republican
109th,2005,2007,435,201,233,Republicans,Republicans,Republican
110th,2007,2009,435,233,202,Democrats,Democrats13,Republican
111th,2009,2011,435,257,178,Democrats,Democrats,Democrat
112th,2011,2013,435,193,242,Republicans,Democrats,Democrat
113th,2013,2015,435,201,234,Republicans,Democrats,Democrat
114th,2015,2017,435,188,247,Republicans,Republicans,Democrat
115th,2017,2019,435,194,241,Republicans,Republicans,Republican
116th,2019,2021,435,235,199,Democrats,Republicans,Republican
117th,2021,2023,435,222,212,Democrats,Democrats,Democrat
118th,2023,2025,435,213,222,Republicans,Democrats,Democrat